Student_ID,College,Year_of_Study,Branch,CGPA,Backlogs_Active,Primary_Domain,Languages_Known,Frameworks_Known,LeetCode_Easy_Solved,LeetCode_Medium_Solved,LeetCode_Hard_Solved,Total_LeetCode_Solved,DSA_Consistency_Score_0to1,Daily_Coding_Streak_Days,Competitive_Programming_Tier,Number_of_Internships,Best_Internship_Quality,Number_of_Projects,Best_Project_Type,GitHub_Commit_Activity,Open_Source_PRs_Merged,System_Design_Level,System_Design_Books_Read,OS_Networking_Knowledge,Communication_Skill,Attitude_Towards_Prep,Mock_Interviews_Done,Behavioral_Prep_Level,Reading_Habits,Certifications,Hackathon_Wins,LinkedIn_Followers,Tech_Blog_Posts_Written,Resume_Quality,Referral_Status,Networking_Effort,Consistency_Score_0to1,Interview_Rounds_Cleared,Final_Offer_Status,FAANG_Ready_Label
T3CS0011,SGSITS Indore,4,CSE,5.59,0,Full Stack,"Rust, SQL, Java","TensorFlow, Django",106,36,3,145,0.22,54,Top 50% LeetCode,3,No Internship,5,Team Clone,Daily,1,No idea,Grokking + DDIA,Weak,Average,Highly Motivated,7,None,Weekly Tech Blogs,None,1,2830,15,ATS Optimized,Yes - Weak Referral,Active Outreach,0.74,0,FAANG Offer,Yes
T3CS0012,SIRT Bhopal,2,CSE,9.86,0,ML/AI,TypeScript,"React, PyTorch, FastAPI",46,0,5,51,0.19,129,Newbie,2,No Internship,4,Original Solo,Rarely,3,Knows basics,Multiple SD Books,Strong,Poor,Motivated,3,Basic (STAR method),Weekly Tech Blogs,Multiple Certs,1,42,1,Good but not ATS,Yes - Strong Referral,Strong Network,0.49,2,No Offer,No
T3CS0013,Shri Vaishnav Institute,3,CSE,9.25,0,Data Engineering,"Rust, Bash","TensorFlow, Next.js",92,175,38,305,0.42,174,Master,3,Small Startup (10-50),7,Team Clone,Rarely,50,Knows basics,None,None,Below Average,Highly Motivated,0,Practiced 30+,Rarely,Multiple Certs,0,943,3,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.6,2,Offer from Startup,No
T3CS0014,Oriental College,2,CSE,6.46,0,Data Engineering,"Java, Go, TypeScript, SQL, C++",Spring Boot,175,236,15,426,0.36,59,LeetCode Knight (near),0,Startup (<10 emp),5,Original Team,Weekly,50,Surface knowledge,None,Weak,Average,Motivated,15,Fully Prepped,Occasional,Azure Fundamentals,2,2390,20,Good but not ATS,Yes - Strong Referral,None,0.5,4,No Offer,No
T3CS0015,Malwa Institute,3,CSE,6.32,1,ML/AI,Kotlin,"TensorFlow, FastAPI, Express",91,12,28,131,0.11,62,Top 10% LeetCode,0,Open Source Contribution Only,1,Open Source Contrib,None,50,Not started,Grokking SD,Moderate,Average,Neutral,1,Practiced 10+,Occasional,AWS Certified,2,2545,10,ATS Optimized + Strong,Yes - Weak Referral,Passive (just LinkedIn),0.78,3,No Offer,No
T3CS0016,Oriental College,4,CSE,6.33,0,Cybersecurity,"Java, Kotlin, SQL","Spring Boot, FastAPI, Express",161,225,56,442,0.76,294,Top 10% LeetCode,1,Service Company (Tier-3),6,Production Deployed,Weekly,10,Knows basics well,None,Strong,Good,Neutral,5,Basic (STAR method),Weekly Tech Blogs,GCP Associate,3,2411,0,ATS Optimized,Yes - Weak Referral,Passive (just LinkedIn),1.0,2,Offer from Mid Company,No
T3CS0017,Truba Institute,4,CSE,6.87,1,Full Stack,"Bash, TypeScript, Kotlin",React,20,0,15,35,0.17,0,Unrated/NA,1,No Internship,1,Production Deployed,None,50,No idea,DDIA,Weak,Average,Passive,10,Practiced 10+,Rarely,Google ML Crash Course,5,4986,5,Good but not ATS,Yes - Weak Referral,Active Outreach,0.49,2,No Offer,No
T3CS0018,Truba Institute,3,CSE,7.86,0,Full Stack,"Python, TypeScript, Java, SQL","PyTorch, Django, React, Next.js, FastAPI",155,210,112,477,0.75,279,Newbie,1,Open Source Contribution Only,8,Open Source Contrib,Weekly,20,Not started,DDIA,Weak,Good,Highly Motivated,10,Practiced 30+,Books (DSA/System Design),AWS Certified,0,1004,2,No Resume Yet,Yes - Weak Referral,None,0.87,0,Offer from Mid Company,No
T3CS0019,IES IPS Academy,4,CSE,7.44,0,Cybersecurity,"Go, Rust, Java",Express,62,61,7,130,0.21,121,Expert (CF),1,Startup (<10 emp),3,Production Deployed,Weekly,5,Not started,None,Weak,Below Average,Neutral,5,Practiced 10+,Daily Tech Reading,None,5,20,3,ATS Optimized + Strong,Yes - Weak Referral,Active Outreach,0.78,5,No Offer,No
T3CS0020,Malwa Institute,3,CSE,6.81,0,DevOps,"Python, SQL, Rust, C++","TensorFlow, PyTorch",40,127,67,234,0.48,156,Top 10% LeetCode,1,Startup (<10 emp),1,Original Team,Monthly,50,No idea,Grokking + DDIA,Strong,Poor,Highly Motivated,2,None,Occasional,Coursera Specialization,0,406,5,No Resume Yet,Alumni Referral,Active Outreach,0.57,5,No Offer,No
T3CS0021,Renaissance College,3,CSE,8.25,0,DevOps,Java,"PyTorch, FastAPI, Flutter, TensorFlow, Django",144,306,56,506,0.28,166,Top 25% LeetCode,1,Mid Startup (50-200),9,Original Team,Monthly,15,Not started,DDIA,Strong,Below Average,Motivated,20,Basic (STAR method),Weekly Tech Blogs,Google ML Crash Course,2,1014,5,Average,Alumni Referral,Passive (just LinkedIn),0.3,0,No Offer,No
T3CS0022,RGPV Bhopal,3,CSE,6.13,0,Cybersecurity,"Go, Bash, SQL",FastAPI,75,55,35,165,0.14,0,Expert (CF),3,Service Company (Tier-2),6,Original Solo,None,20,Not started,DDIA,Moderate,Good,Highly Motivated,2,None,Weekly Tech Blogs,Meta Frontend Cert,0,4431,0,Good but not ATS,Yes - Weak Referral,None,0.54,1,No Offer,No
T3CS0023,Bansal College,4,CSE,6.81,0,Full Stack,Bash,Spring Boot,98,82,8,188,0.4,161,Candidate Master,0,MAANG/FAANG Adjacent,3,Original Team,Weekly,15,No idea,None,Weak,Average,Motivated,15,None,Daily Tech Reading,GCP Associate,2,1838,15,ATS Optimized,Yes - Strong Referral,Passive (just LinkedIn),0.57,0,No Offer,No
T3CS0024,Malwa Institute,2,CSE,7.15,0,Cybersecurity,"Go, TypeScript, Bash",Express,125,154,16,295,0.41,78,Top 25% LeetCode,0,Service Company (Tier-3),2,Original Team,Rarely,2,Knows basics well,Grokking SD,Weak,Average,Neutral,3,None,Books (DSA/System Design),Azure Fundamentals,0,3188,10,ATS Optimized,Yes - Strong Referral,None,0.67,0,No Offer,No
T3CS0025,Shri Vaishnav Institute,3,CSE,7.55,0,Android/iOS,"TypeScript, Python, JavaScript",Django,87,54,33,174,0.21,108,Expert (CF),0,Small Startup (10-50),5,Research Project,Rarely,5,Knows basics well,Grokking SD,Weak,Below Average,Passive,30,None,Never,GCP Associate,2,714,5,No Resume Yet,No Referral,None,0.83,2,Offer from Mid Company,No
T3CS0026,NRI Institute,4,CSE,9.03,4,Full Stack,"Go, C++, Java, JavaScript, Bash, TypeScript","Spring Boot, Django, TensorFlow",215,188,89,492,0.69,301,Expert (CF),0,Small Startup (10-50),7,Open Source Contrib,Weekly,2,Knows basics,Grokking SD,Strong,Good,Motivated,7,Basic (STAR method),Never,None,1,4146,5,No Resume Yet,No Referral,Passive (just LinkedIn),0.87,2,Offer from Product Company,No
T3CS0027,Medicaps University,4,CSE,6.4,1,Cybersecurity,"TypeScript, C++, JavaScript","Next.js, Flutter, PyTorch, Express, FastAPI",24,76,0,100,0.29,131,LeetCode Knight,2,Startup (<10 emp),4,Production Deployed,Weekly,3,Knows basics,Multiple SD Books,Strong,Good,Low Effort,15,Basic (STAR method),Daily Tech Reading,Meta Frontend Cert,0,3854,10,Weak,Yes - Strong Referral,None,0.83,2,No Offer,No
T3CS0028,Chameli Devi Group,3,CSE,7.81,0,Cybersecurity,"Kotlin, JavaScript, Bash, Go, Python, SQL","FastAPI, Next.js",99,145,14,258,0.4,76,Expert (CF),0,No Internship,6,Original Team,Rarely,50,Knows basics,None,None,Excellent,Neutral,10,Basic (STAR method),Books (DSA/System Design),AWS Certified,0,4419,1,Weak,No Referral,Passive (just LinkedIn),0.65,5,Multiple FAANG Offers,Yes
T3CS0029,Shri Vaishnav Institute,3,CSE,8.17,3,Android/iOS,"Bash, TypeScript, JavaScript, SQL, Kotlin, C++, Java","PyTorch, TensorFlow",187,176,69,432,0.36,243,Top 10% LeetCode,3,MAANG/FAANG Adjacent,1,Production Deployed,Monthly,10,No idea,DDIA,Moderate,Average,Motivated,0,None,Weekly Tech Blogs,Coursera Specialization,0,4884,0,Average,Professor Referral,Passive (just LinkedIn),1.0,0,Offer from Mid Company,No
T3CS0030,SAGE University,2,CSE,5.71,0,Data Engineering,"Rust, Kotlin, C++","Express, Node.js, FastAPI",82,4,0,86,0.19,24,Master,1,Startup (<10 emp),5,Original Solo,Monthly,1,Not started,None,Weak,Poor,Neutral,1,None,Never,Azure Fundamentals,2,140,1,ATS Optimized + Strong,Yes - Strong Referral,Passive (just LinkedIn),0.55,2,No Offer,No
T3CS0031,Patel College of Science,3,CSE,8.23,0,Android/iOS,"Kotlin, Java, JavaScript, Bash, Rust","Spring Boot, PyTorch",168,123,67,358,0.33,330,Top 50% LeetCode,0,MAANG/FAANG Adjacent,6,Open Source Contrib,Weekly,10,Surface knowledge,Multiple SD Books,Strong,Excellent,Highly Motivated,20,Practiced 30+,Weekly Tech Blogs,Meta Frontend Cert,5,4565,20,No Resume Yet,Alumni Referral,None,0.83,1,No Offer,No
T3CS0032,Oriental College,2,CSE,6.27,0,Data Engineering,"Go, C++, SQL","Express, PyTorch",81,184,0,265,0.19,69,Top 50% LeetCode,3,Mid Startup (50-200),6,Production Deployed,Monthly,5,Not started,None,Weak,Poor,Low Effort,7,Practiced 30+,Weekly Tech Blogs,GCP Associate,0,4882,20,Good but not ATS,Yes - Strong Referral,Passive (just LinkedIn),0.83,3,No Offer,No
T3CS0033,Acropolis Institute,3,CSE,5.79,0,Backend,"Java, Go, Kotlin, TypeScript, Bash","Flutter, Node.js, PyTorch",194,131,11,336,0.41,124,Master,1,Open Source Contribution Only,6,Original Team,Rarely,15,Not started,Grokking SD,Moderate,Excellent,Passive,10,Practiced 30+,Rarely,Meta Frontend Cert,0,963,10,Average,Yes - Strong Referral,Strong Network,0.58,2,No Offer,No
T3CS0034,SGSITS Indore,4,CSE,9.77,0,Android/iOS,Python,"PyTorch, Spring Boot",13,0,12,25,0.11,81,Specialist (CF),1,Open Source Contribution Only,1,Original Solo,Monthly,50,No idea,None,Moderate,Good,Low Effort,15,Basic (STAR method),Daily Tech Reading,None,0,372,5,No Resume Yet,No Referral,None,0.44,4,No Offer,No
T3CS0035,Oriental College,3,CSE,9.85,1,Cybersecurity,JavaScript,"Flutter, Node.js",34,85,18,137,0.22,75,Top 10% LeetCode,0,No Internship,7,Original Solo,Monthly,20,Knows basics,None,None,Good,Passive,3,Practiced 10+,Daily Tech Reading,Google ML Crash Course,0,3635,20,ATS Optimized + Strong,Professor Referral,None,0.91,0,No Offer,No
T3CS0036,Bansal College,2,CSE,9.14,0,Full Stack,"Go, Java, SQL","Next.js, Spring Boot, Django",57,121,5,183,0.21,61,Candidate Master,2,Small Startup (10-50),6,Research Project,Rarely,2,Can design distributed systems,DDIA,Moderate,Below Average,Highly Motivated,3,Basic (STAR method),Rarely,AWS Certified,0,2541,0,Weak,Alumni Referral,None,0.82,0,Offer from Startup,No
T3CS0037,Chameli Devi Group,4,CSE,6.87,1,Cybersecurity,"C++, Bash, Kotlin, TypeScript","TensorFlow, Express, Node.js, FastAPI, Flutter",145,87,42,274,0.36,200,Expert (CF),2,MAANG/FAANG Adjacent,1,Original Team,Daily,50,Knows basics,DDIA,Weak,Excellent,Low Effort,2,None,Books (DSA/System Design),None,1,3610,15,Good but not ATS,Professor Referral,Active Outreach,0.4,3,Offer from Startup,No
T3CS0038,SGSITS Indore,4,CSE,5.94,1,DevOps,"Kotlin, TypeScript, SQL, Rust","Node.js, Flutter",92,91,15,198,0.49,126,Newbie,0,Service Company (Tier-3),3,Original Solo,Rarely,1,No idea,Grokking SD,Strong,Average,Motivated,15,Practiced 10+,Daily Tech Reading,None,0,1692,0,ATS Optimized,No Referral,Passive (just LinkedIn),0.42,4,No Offer,No
T3CS0039,RJIT Gwalior,2,CSE,8.58,0,DevOps,"Python, SQL, JavaScript, Bash, Rust, Kotlin, TypeScript",Node.js,200,194,96,490,0.43,321,Expert (CF),1,Open Source Contribution Only,6,Open Source Contrib,Monthly,50,Not started,None,None,Average,Motivated,10,None,Rarely,Meta Frontend Cert,0,105,0,Good but not ATS,Yes - Weak Referral,Active Outreach,0.56,1,FAANG Offer,Yes
T3CS0040,Bansal College,2,CSE,7.48,0,Systems,"Rust, Go, Bash","Express, Node.js, React",65,41,21,127,0.15,0,Specialist (CF),1,Product Company,2,Original Team,Monthly,15,Not started,Grokking SD,Weak,Below Average,Motivated,10,Basic (STAR method),Occasional,Google ML Crash Course,0,1681,10,Good but not ATS,Yes - Strong Referral,Passive (just LinkedIn),0.37,2,No Offer,No
T3CS0041,RJIT Gwalior,4,CSE,6.05,0,Backend,"Go, Rust, Python","React, PyTorch",110,44,26,180,0.24,18,Unrated/NA,0,Open Source Contribution Only,1,Research Project,Weekly,1,Surface knowledge,Grokking SD,Weak,Good,Low Effort,20,Practiced 10+,Never,AWS Certified,1,4097,3,Average,Yes - Strong Referral,Passive (just LinkedIn),0.15,0,No Offer,No
T3CS0042,SAGE University,3,CSE,7.73,0,DevOps,Python,"TensorFlow, Node.js",19,30,13,62,0.5,186,LeetCode Knight,0,Open Source Contribution Only,8,Original Team,None,2,Knows basics well,Grokking SD,Moderate,Average,Motivated,7,None,Weekly Tech Blogs,GCP Associate,0,4016,10,ATS Optimized,Professor Referral,None,0.71,2,No Offer,No
T3CS0043,LNCT Bhopal,3,CSE,5.65,0,Cybersecurity,"Kotlin, Bash, Rust, TypeScript, SQL, Java","Django, PyTorch",102,173,0,275,0.62,271,Pupil,2,No Internship,6,Team Clone,Monthly,20,Not started,None,Strong,Good,Highly Motivated,7,Practiced 10+,Rarely,AWS Certified,2,2636,0,Good but not ATS,No Referral,Passive (just LinkedIn),1.0,0,Offer from Startup,No
T3CS0044,Shri Vaishnav Institute,2,CSE,9.59,0,Cybersecurity,SQL,Django,40,0,0,40,0.15,80,Top 50% LeetCode,2,No Internship,2,Original Solo,Monthly,0,No idea,None,Weak,Average,Passive,1,Basic (STAR method),Rarely,Coursera Specialization,0,2137,5,Weak,Professor Referral,Passive (just LinkedIn),0.85,5,No Offer,No
T3CS0045,RGPV Bhopal,4,CSE,6.66,0,Systems,"Rust, Python, Java, Kotlin, TypeScript, JavaScript, SQL, Bash","Node.js, Spring Boot, TensorFlow, Flutter",257,167,88,512,0.5,234,Top 10% LeetCode,0,No Internship,9,Original Solo,None,15,Surface knowledge,DDIA,Moderate,Average,Neutral,20,None,Daily Tech Reading,Multiple Certs,3,3416,0,Good but not ATS,No Referral,Strong Network,0.58,0,FAANG Offer,Yes
T3CS0046,SGSITS Indore,4,CSE,8.48,0,Full Stack,"Rust, Java, TypeScript, Python, Kotlin","Django, Express, PyTorch",117,121,47,285,0.44,199,Top 25% LeetCode,0,No Internship,6,Production Deployed,Weekly,3,Knows basics,Grokking SD,Weak,Good,Highly Motivated,5,Practiced 10+,Never,Google ML Crash Course,3,4445,1,ATS Optimized,Alumni Referral,Active Outreach,0.66,2,No Offer,No
T3CS0047,Shri Vaishnav Institute,4,CSE,6.9,2,Backend,"C++, Kotlin, Rust, Go, Bash","Next.js, Node.js, Spring Boot",138,86,68,292,0.26,63,LeetCode Guardian,2,No Internship,6,Team Clone,Daily,3,No idea,Multiple SD Books,None,Excellent,Highly Motivated,10,Basic (STAR method),Daily Tech Reading,Multiple Certs,2,3530,0,ATS Optimized + Strong,Alumni Referral,None,1.0,2,No Offer,No
T3CS0048,TIT Bhopal,3,CSE,7.84,0,Systems,"Kotlin, Bash, C++, SQL, TypeScript, Java, Python","Django, Next.js, TensorFlow, React, Express",211,122,79,412,0.42,372,Master,0,Mid Startup (50-200),8,Production Deployed,Rarely,20,Knows basics,None,Strong,Excellent,Highly Motivated,15,Basic (STAR method),Daily Tech Reading,AWS Certified,5,1286,20,Weak,Professor Referral,Passive (just LinkedIn),0.75,1,Offer from Mid Company,No
T3CS0049,Malwa Institute,2,CSE,7.96,0,Full Stack,"TypeScript, Kotlin","React, TensorFlow, Flutter",65,16,42,123,0.25,28,Top 50% LeetCode,1,Open Source Contribution Only,10,Original Team,Weekly,10,Knows basics well,Multiple SD Books,Weak,Excellent,Motivated,1,Basic (STAR method),Rarely,AWS Certified,0,3179,2,Good but not ATS,Professor Referral,None,0.56,0,No Offer,No
T3CS0050,SGSITS Indore,2,CSE,6.33,1,DevOps,"Go, SQL, TypeScript, Kotlin",Next.js,75,53,32,160,0.32,138,Top 10% LeetCode,0,No Internship,3,Production Deployed,Weekly,1,Knows basics well,Grokking SD,Moderate,Excellent,Motivated,0,Practiced 30+,Never,None,1,3654,3,Average,Alumni Referral,Passive (just LinkedIn),0.86,2,Offer from Product Company,No
T3CS0051,Bansal College,2,CSE,9.86,0,DevOps,"Python, Bash, Rust, Kotlin, Java, TypeScript","PyTorch, TensorFlow, Django, Flutter, FastAPI, Express",228,21,59,308,0.26,206,Newbie,1,No Internship,7,Original Team,Weekly,15,Surface knowledge,DDIA,Weak,Average,Motivated,0,Basic (STAR method),Daily Tech Reading,Azure Fundamentals,1,2359,0,Weak,Yes - Weak Referral,Passive (just LinkedIn),1.0,3,No Offer,No
T3CS0052,Malwa Institute,4,CSE,8.99,0,ML/AI,"Bash, Java, Rust","TensorFlow, Flutter",100,62,24,186,0.47,255,Expert (CF),1,Product Company,6,Original Team,Weekly,1,Can design distributed systems,None,None,Good,Neutral,20,None,Occasional,Meta Frontend Cert,0,444,5,Weak,Yes - Weak Referral,None,0.33,1,No Offer,No
T3CS0053,Medicaps University,3,CSE,9.73,0,DevOps,"Python, SQL, Go, Java",Django,0,146,37,183,0.18,95,Top 10% LeetCode,2,Open Source Contribution Only,8,Production Deployed,Monthly,2,Knows basics,Grokking SD,None,Poor,Low Effort,3,Practiced 10+,Daily Tech Reading,Coursera Specialization,0,35,0,Weak,No Referral,None,0.35,5,No Offer,No
T3CS0054,Oriental College,3,CSE,9.53,0,DevOps,"Python, Kotlin, SQL, Rust",Next.js,58,168,3,229,0.22,262,Top 50% LeetCode,2,No Internship,4,Solo Clone,Monthly,0,Surface knowledge,Multiple SD Books,Moderate,Below Average,Motivated,2,Basic (STAR method),Occasional,Azure Fundamentals,0,1475,1,ATS Optimized,Yes - Weak Referral,None,0.54,2,Offer from Product Company,No
T3CS0055,Medicaps University,3,CSE,8.19,0,ML/AI,"SQL, Java, Bash, Python","Express, Flutter, React, TensorFlow, PyTorch, Next.js",241,188,49,478,0.71,130,LeetCode Knight (near),1,Startup (<10 emp),3,Original Solo,Daily,0,Knows basics well,None,Moderate,Average,Highly Motivated,30,None,Occasional,Meta Frontend Cert,2,3957,20,Average,No Referral,None,0.83,1,Offer from Product Company,No
T3CS0056,Medicaps University,2,CSE,9.65,1,DevOps,"Rust, TypeScript, Java, SQL",Flutter,177,179,99,455,0.26,236,Master,0,Startup (<10 emp),8,Production Deployed,Weekly,5,Surface knowledge,None,Strong,Excellent,Motivated,3,Fully Prepped,Weekly Tech Blogs,None,1,1798,0,Good but not ATS,Yes - Weak Referral,Passive (just LinkedIn),0.67,5,Offer from Startup,No
T3CS0057,SIRT Bhopal,4,CSE,5.9,1,Android/iOS,"Bash, Rust, C++",React,179,242,67,488,0.22,114,Top 10% LeetCode,3,Service Company (Tier-3),6,Production Deployed,Weekly,5,Not started,Grokking SD,Moderate,Average,Motivated,0,None,Daily Tech Reading,None,1,1845,2,Average,Yes - Strong Referral,Passive (just LinkedIn),0.89,0,Offer from Startup,No
T3CS0058,Medicaps University,4,CSE,6.38,0,ML/AI,"TypeScript, Rust, SQL, Go","Flutter, Django, FastAPI",133,99,18,250,0.28,42,Specialist (CF),1,Service Company (Tier-2),7,Team Clone,Weekly,2,Can design distributed systems,Grokking + DDIA,Moderate,Average,Neutral,7,Practiced 10+,Occasional,Azure Fundamentals,5,1408,2,Good but not ATS,Professor Referral,Passive (just LinkedIn),0.48,0,No Offer,No
T3CS0059,Bansal College,4,CSE,5.7,0,ML/AI,"TypeScript, Go, C++","Express, PyTorch, Spring Boot, Flutter",97,9,61,167,0.33,145,LeetCode Knight (near),0,No Internship,6,Original Solo,Daily,15,Knows basics,Grokking SD,Moderate,Below Average,Neutral,15,Basic (STAR method),Weekly Tech Blogs,Google ML Crash Course,0,1708,0,No Resume Yet,Professor Referral,None,0.35,0,No Offer,No
T3CS0060,RGPV Bhopal,2,CSE,6.96,0,Systems,"SQL, JavaScript, Rust, Kotlin, Bash","Next.js, TensorFlow, Flutter, Node.js, FastAPI",236,109,64,409,0.5,281,Newbie,2,No Internship,5,Solo Clone,None,3,Surface knowledge,Grokking SD,Moderate,Good,Low Effort,5,Practiced 10+,Rarely,Meta Frontend Cert,0,2938,0,Good but not ATS,No Referral,Strong Network,0.93,1,Offer from Mid Company,No
T3CS0061,Shri Vaishnav Institute,4,CSE,7.25,0,DevOps,Java,"Spring Boot, React",148,0,0,148,0.1,0,Newbie,1,Product Company,1,Production Deployed,Rarely,50,No idea,Multiple SD Books,Moderate,Below Average,Motivated,15,None,Weekly Tech Blogs,Meta Frontend Cert,0,1300,0,Weak,Yes - Strong Referral,None,0.72,5,No Offer,No
T3CS0062,RGPV Bhopal,3,CSE,6.72,0,Systems,TypeScript,PyTorch,61,44,7,112,0.14,59,Pupil,0,No Internship,4,Solo Clone,Rarely,50,Surface knowledge,DDIA,Weak,Good,Neutral,1,Practiced 30+,Never,Azure Fundamentals,0,1243,3,ATS Optimized + Strong,Yes - Weak Referral,None,0.42,2,No Offer,No
T3CS0063,NRI Institute,3,CSE,9.23,0,Cybersecurity,"Java, SQL, Kotlin, Bash","FastAPI, Node.js, Flutter, Next.js, PyTorch",126,176,99,401,0.24,358,Candidate Master,0,Open Source Contribution Only,10,Original Solo,Weekly,3,Can design distributed systems,Multiple SD Books,Weak,Good,Motivated,5,Basic (STAR method),Rarely,None,0,3976,3,Good but not ATS,Professor Referral,Strong Network,0.42,0,No Offer,No
T3CS0064,Acropolis Institute,3,CSE,7.11,1,Full Stack,"Go, Rust, JavaScript, C++, SQL","Node.js, PyTorch, Spring Boot",44,52,79,175,0.56,255,Top 25% LeetCode,2,Open Source Contribution Only,6,Original Solo,Monthly,3,Not started,Multiple SD Books,Weak,Average,Highly Motivated,5,Practiced 10+,Books (DSA/System Design),Coursera Specialization,0,3097,0,No Resume Yet,Alumni Referral,Active Outreach,0.69,5,No Offer,No
